x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
627.528,652.617,287.336,603.657,294.374,412.407,190.009,361.159,645.637,297.363,370.513,193.159,156.244,189.531,514.889,106.008,nan,nan,nan,nan
625.543,658.684,288.046,603.219,294.199,412.361,189.439,361.355,645.397,297.185,369.802,192.998,156.294,190.442,518.437,102.180,nan,nan,nan,nan
623.782,662.804,284.143,603.704,295.012,412.363,189.737,360.928,644.581,296.747,370.547,192.820,155.836,189.983,516.792,99.055,180.743,599.320,nan,nan
621.291,662.780,282.129,607.233,295.916,412.171,189.501,360.947,643.713,295.459,371.151,193.129,155.798,189.934,520.565,96.208,179.129,597.315,nan,nan
619.853,663.502,284.317,606.897,298.394,412.651,189.014,361.225,643.763,296.166,370.626,192.727,155.798,189.934,521.281,95.681,179.020,595.056,nan,nan
618.343,664.019,284.179,607.856,299.585,413.726,190.015,360.162,643.469,295.946,370.724,192.511,155.864,189.952,522.275,95.288,177.689,591.969,nan,nan
617.579,664.058,284.536,608.439,298.226,413.996,189.390,360.719,642.961,295.252,370.777,192.674,155.953,190.167,522.798,94.598,177.130,589.006,nan,nan
617.008,663.804,285.500,608.409,296.569,412.793,189.415,360.106,642.221,295.027,369.964,192.026,156.654,191.383,522.815,93.391,176.484,588.045,nan,nan
616.204,664.021,286.022,608.584,296.268,412.232,189.001,360.697,636.925,290.524,370.451,192.207,156.654,191.383,523.389,93.248,176.790,588.681,nan,nan
615.676,664.183,286.299,609.026,297.034,411.676,186.320,363.027,632.270,287.815,370.119,192.093,156.712,191.298,523.625,92.695,176.703,588.388,nan,nan
615.390,663.744,286.363,609.124,295.441,411.648,187.955,363.233,626.695,285.584,370.887,192.399,156.591,190.443,524.081,93.277,176.438,587.723,nan,nan
615.045,663.696,287.244,609.176,296.167,411.187,188.928,363.131,620.091,282.385,370.854,192.466,156.181,190.299,524.558,93.256,176.612,587.880,nan,nan
614.411,663.422,288.327,608.918,295.792,411.236,188.839,363.046,615.640,282.633,371.000,192.499,155.567,190.059,524.616,92.876,176.557,587.712,nan,nan
614.038,663.764,287.770,609.369,296.490,411.110,189.439,362.664,610.867,281.144,371.836,192.372,156.220,189.195,525.019,93.265,176.557,587.712,nan,nan
613.474,664.205,287.582,609.742,296.938,410.980,188.477,363.069,608.310,281.038,370.241,191.959,156.207,187.360,526.987,91.936,176.747,588.169,nan,nan
610.878,664.882,288.826,609.385,296.667,411.027,189.032,362.497,606.307,280.777,367.123,192.385,157.350,186.850,527.794,86.041,176.747,588.169,nan,nan
607.500,665.816,288.374,609.836,296.865,410.916,188.818,362.797,604.947,280.748,366.232,194.771,158.216,187.065,527.417,81.140,176.717,587.917,nan,nan
603.107,666.887,288.699,610.605,297.271,410.752,189.743,361.929,603.677,280.738,364.356,196.586,160.565,186.201,528.712,78.309,176.821,588.093,nan,nan
599.772,667.271,287.096,612.816,297.712,410.634,189.727,361.936,602.824,280.770,362.720,196.499,161.500,185.958,529.204,78.232,176.829,587.298,nan,nan
598.031,666.783,286.356,614.720,298.070,410.515,189.388,362.263,601.948,280.870,361.486,196.712,162.497,185.573,529.099,78.652,176.829,587.298,nan,nan
596.699,666.814,287.438,615.389,298.070,410.515,189.460,362.114,600.869,280.731,360.674,196.990,163.452,185.007,529.010,78.752,176.829,587.298,nan,nan
