x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11
558.262,663.221,291.335,634.048,181.867,575.401,302.021,416.012,187.289,361.417,547.362,295.534,332.324,192.392,165.242,182.858,531.233,81.633,nan,nan,nan,nan
557.378,662.566,291.446,633.698,181.766,575.758,302.184,416.029,187.127,362.200,547.775,297.139,330.220,192.330,165.291,182.769,531.401,85.092,nan,nan,nan,nan
556.231,662.531,291.800,632.972,181.766,575.758,302.075,416.437,185.670,361.914,546.489,297.968,328.696,192.197,165.291,182.769,527.639,87.367,nan,nan,nan,nan
556.059,662.324,291.719,633.350,181.742,576.212,302.275,416.202,184.768,360.907,544.380,298.351,328.647,192.295,165.417,182.654,526.319,89.551,nan,nan,nan,nan
555.737,662.009,292.230,633.065,181.766,575.758,302.579,415.976,183.823,360.370,543.476,299.309,326.254,192.059,165.295,182.654,527.360,90.700,nan,nan,nan,nan
555.707,661.478,291.992,635.254,181.790,575.754,302.744,415.706,184.267,359.312,543.635,299.841,326.430,191.848,165.357,182.568,525.315,91.285,507.949,85.902,nan,nan
554.393,661.704,292.170,634.739,182.321,576.917,303.000,415.385,185.012,355.475,540.761,300.088,326.325,191.800,165.913,182.095,526.213,92.349,nan,nan,nan,nan
556.315,660.027,292.292,634.248,183.078,577.747,303.092,415.353,184.620,354.870,543.611,301.032,325.146,191.606,166.660,183.732,525.688,92.640,nan,nan,nan,nan
555.569,657.542,292.649,633.387,185.030,576.582,303.066,415.434,184.562,353.527,540.795,301.202,324.087,191.634,165.705,184.098,525.723,92.616,nan,nan,nan,nan
543.430,655.487,292.445,634.152,185.260,575.257,303.406,415.680,184.285,352.699,542.816,302.166,321.782,191.330,167.662,183.314,524.741,93.230,nan,nan,nan,nan
537.752,652.386,292.438,634.692,185.651,575.015,303.369,415.898,184.165,351.254,542.014,302.226,318.591,190.881,167.579,182.957,525.159,93.210,nan,nan,nan,nan
534.656,648.344,292.419,634.815,185.429,575.142,303.618,415.611,184.103,350.726,542.432,303.015,318.202,190.910,167.503,183.245,526.968,93.238,nan,nan,nan,nan
533.958,645.702,293.146,633.618,185.501,575.140,303.759,415.480,184.360,350.708,541.581,302.867,316.421,190.064,167.817,183.506,527.687,93.246,nan,nan,nan,nan
532.694,644.251,292.950,633.427,185.660,574.994,304.082,415.149,184.193,350.169,541.719,303.850,316.846,190.012,167.626,183.305,527.078,93.356,nan,nan,nan,nan
531.603,643.101,294.849,635.855,185.822,575.260,303.986,415.480,184.345,351.285,540.595,303.848,317.687,190.628,166.726,182.810,527.159,93.345,nan,nan,nan,nan
530.131,641.887,296.201,640.238,185.878,575.467,304.139,415.132,184.167,349.881,541.484,303.893,318.708,190.476,166.726,182.810,528.044,93.385,nan,nan,nan,nan
529.650,641.165,296.361,652.641,185.938,575.412,304.586,414.483,183.676,350.815,539.863,304.063,319.196,190.492,166.961,182.870,528.281,93.307,nan,nan,nan,nan
530.010,640.817,299.064,653.969,185.948,575.246,304.497,413.896,183.703,349.944,540.123,304.508,318.670,189.865,166.820,182.849,528.698,93.349,nan,nan,nan,nan
528.831,640.022,299.959,655.323,185.306,575.960,305.023,414.090,183.778,349.834,539.233,304.739,319.156,189.798,166.785,182.879,529.029,93.389,nan,nan,nan,nan
529.319,640.003,300.408,656.078,185.379,575.973,304.934,414.352,183.588,349.300,539.652,304.822,317.952,189.600,166.946,182.854,529.340,93.372,nan,nan,nan,nan
528.669,639.307,300.723,654.462,184.903,576.359,305.150,413.563,183.635,349.495,539.786,305.363,318.327,189.731,167.236,182.919,529.683,93.280,nan,nan,nan,nan
528.466,639.021,301.543,652.133,181.547,578.985,306.054,411.267,183.509,349.157,538.724,305.450,318.599,189.825,167.282,182.902,531.253,94.277,nan,nan,nan,nan
528.133,638.782,302.181,653.281,180.217,579.423,304.079,411.060,183.519,349.683,538.227,305.673,317.650,189.513,167.399,182.941,529.348,100.061,nan,nan,nan,nan
528.211,638.734,301.578,654.735,180.092,580.941,301.577,413.142,183.164,349.980,541.023,306.022,319.496,188.927,167.460,182.938,521.730,104.637,nan,nan,nan,nan
528.294,638.189,302.698,653.001,178.446,582.081,301.008,413.788,183.139,348.053,537.013,308.446,321.084,184.343,167.425,182.909,517.678,109.388,nan,nan,nan,nan
528.213,638.387,302.869,653.384,178.101,580.530,300.785,413.678,183.442,350.284,534.211,311.907,315.927,178.919,167.460,182.938,511.286,112.621,nan,nan,nan,nan
528.747,639.120,303.131,653.620,177.969,578.337,301.244,413.648,184.001,351.511,531.598,317.032,309.868,173.354,166.701,182.588,512.374,113.966,nan,nan,nan,nan
532.523,639.426,303.058,653.650,178.436,578.082,301.292,413.682,184.541,350.123,528.804,320.411,306.085,169.472,166.296,181.081,511.840,114.921,nan,nan,nan,nan
524.446,635.664,303.165,652.996,177.227,580.182,301.571,413.689,184.164,349.103,526.494,324.607,301.435,163.972,166.262,179.447,511.471,115.804,nan,nan,nan,nan
522.907,632.204,303.376,652.609,171.639,584.476,301.794,413.456,184.722,348.499,525.376,327.287,300.859,163.259,168.700,177.577,511.894,116.129,nan,nan,nan,nan
521.751,629.284,303.362,652.559,169.726,586.595,301.806,413.332,184.654,347.004,525.903,328.810,299.729,161.967,169.329,176.864,512.412,116.159,nan,nan,nan,nan
522.772,627.517,303.332,652.846,165.820,587.843,301.547,413.512,184.694,345.426,525.617,330.450,297.875,159.942,170.843,175.571,511.879,116.859,nan,nan,nan,nan
520.149,626.401,304.878,653.368,162.980,589.820,301.659,413.372,184.510,343.532,525.002,331.563,295.815,157.537,171.175,175.199,511.009,117.641,nan,nan,nan,nan
520.157,625.926,309.252,657.440,160.635,592.352,301.656,413.338,184.247,342.459,525.024,332.730,295.092,157.000,170.975,175.235,511.368,117.669,nan,nan,nan,nan
519.989,625.400,312.786,663.814,158.649,593.995,302.102,412.997,184.423,342.162,524.653,333.757,294.404,155.994,172.221,174.385,510.690,118.229,nan,nan,nan,nan
519.918,624.673,316.182,669.731,157.214,595.053,302.785,412.660,184.363,341.665,525.377,334.718,294.024,155.781,171.870,174.282,510.446,118.717,nan,nan,nan,nan
519.411,624.324,318.791,670.950,156.445,595.869,302.607,412.827,184.467,341.702,524.555,335.559,293.842,155.645,172.217,173.906,510.505,118.609,nan,nan,nan,nan
519.018,623.827,320.626,671.563,155.312,596.726,302.771,412.741,184.335,341.608,524.185,337.523,292.925,154.778,172.218,173.914,511.592,118.664,nan,nan,nan,nan
518.781,623.621,321.623,672.721,155.470,596.988,301.443,413.657,184.572,341.644,517.746,346.941,292.439,153.678,172.224,173.658,511.881,118.320,nan,nan,nan,nan
518.366,623.340,322.354,671.703,154.310,597.653,302.075,413.252,184.393,341.401,515.175,353.771,292.064,153.400,173.218,172.885,516.566,117.924,nan,nan,nan,nan
518.256,623.237,323.218,672.263,153.515,598.473,302.361,412.997,184.550,342.814,515.981,357.298,291.380,152.404,173.172,173.161,518.763,119.242,nan,nan,nan,nan
