x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
555.932,662.474,291.802,632.966,181.711,576.441,302.342,416.183,184.785,360.920,544.065,298.128,328.003,192.251,165.251,182.724,526.256,89.506,nan,nan
555.251,662.071,292.152,632.953,181.985,575.015,302.614,415.907,183.907,360.212,543.335,299.101,326.428,192.052,165.127,182.725,527.115,90.657,nan,nan
555.863,661.485,291.992,635.254,181.985,575.015,302.832,415.536,184.319,359.319,543.556,299.800,326.547,191.852,165.123,182.795,525.078,91.271,507.949,85.929
554.195,661.740,292.170,634.739,182.321,576.917,302.842,415.643,185.006,355.553,540.407,300.082,326.429,191.809,165.843,182.050,526.213,92.349,507.312,87.234
556.066,659.898,292.292,634.248,182.603,577.914,303.145,415.233,184.761,355.165,542.896,300.796,324.684,191.597,166.723,183.855,524.719,92.787,nan,nan
555.532,657.505,292.677,633.216,184.619,577.035,303.185,415.203,184.618,353.099,542.239,301.330,323.982,191.628,166.433,184.319,525.551,92.682,506.353,87.402
543.346,655.519,292.413,634.065,185.320,575.263,303.543,415.356,184.257,353.170,542.575,302.078,322.524,191.371,167.746,183.448,524.741,93.230,nan,nan
537.781,652.193,292.438,634.692,185.562,575.135,303.644,415.311,184.165,351.254,542.347,302.213,319.619,191.071,167.880,183.406,525.159,93.210,nan,nan
534.317,648.358,292.380,634.805,185.356,575.156,303.649,415.435,184.076,350.521,542.445,303.017,318.202,190.910,167.566,183.320,526.968,93.238,nan,nan
533.921,645.887,293.175,633.431,185.501,575.140,304.002,415.012,184.360,350.708,541.825,302.856,316.421,190.064,167.905,183.539,527.570,93.255,nan,nan
532.227,644.479,293.023,632.914,185.508,575.497,304.392,414.589,184.214,350.774,542.142,303.822,317.748,190.043,167.707,183.326,526.853,93.369,nan,nan
531.481,643.091,294.789,635.719,185.439,575.879,304.163,415.040,184.341,351.333,540.971,303.873,318.343,190.559,166.779,182.879,526.937,93.358,nan,nan
530.325,642.000,296.113,639.733,185.439,575.879,303.884,415.840,184.196,350.038,541.869,303.948,318.936,190.479,166.663,182.860,528.534,93.352,nan,nan
529.854,641.345,296.339,652.834,185.609,575.591,304.593,414.489,184.193,350.105,541.496,304.580,319.196,190.492,167.013,182.940,528.281,93.307,nan,nan
530.099,640.804,299.009,654.099,185.948,575.246,304.279,414.938,183.712,350.105,540.129,304.540,319.019,190.237,166.872,182.918,528.698,93.349,nan,nan
528.929,640.059,299.877,654.435,185.422,575.822,305.171,413.788,183.745,349.666,538.991,304.697,318.645,189.704,166.837,182.947,528.806,93.403,nan,nan
529.316,640.011,300.483,655.037,185.798,575.582,304.928,414.486,183.590,349.340,541.301,305.075,318.235,189.633,166.872,182.918,529.340,93.372,nan,nan
528.601,639.425,300.725,653.933,184.658,576.485,305.256,413.434,183.613,349.285,540.044,305.409,318.327,189.731,167.304,182.996,529.683,93.280,nan,nan
528.165,639.009,301.505,651.622,181.381,579.485,306.260,411.163,183.476,349.311,540.014,305.752,318.599,189.825,167.349,182.978,531.253,94.277,nan,nan
527.797,638.825,301.861,652.290,180.227,579.327,304.177,410.996,183.497,349.484,538.722,305.742,317.651,189.478,167.167,182.931,529.348,100.061,nan,nan
528.249,638.803,301.579,654.575,180.039,581.460,301.732,412.947,183.165,349.751,541.591,306.186,318.645,188.589,167.349,182.991,521.495,104.644,nan,nan
528.403,638.315,302.673,653.064,178.449,582.149,301.355,413.619,183.200,348.968,537.259,308.444,321.084,184.343,167.300,182.933,517.678,109.388,nan,nan
528.333,638.449,302.850,653.474,178.163,580.571,300.995,413.553,183.534,351.099,535.462,311.893,315.856,178.856,167.349,182.991,511.211,112.474,nan,nan
528.817,639.056,302.950,653.045,178.056,579.281,301.529,413.418,183.667,350.457,531.208,317.147,309.795,173.284,166.795,182.927,512.219,113.985,nan,nan
532.523,639.426,303.084,653.063,178.436,578.082,301.090,413.880,184.585,351.129,528.773,320.431,306.077,169.478,166.218,180.912,511.412,114.754,nan,nan
524.398,635.896,303.193,653.974,177.466,580.304,300.994,414.107,184.181,349.178,526.251,324.679,301.692,164.075,166.262,179.447,510.530,116.082,nan,nan
