mean, median, standard_deviation
201.3,203.8,26.5
150.9,148.5,15.7
91.5,93.0,16.4
103.4,99.0,20.0
219.1,217.5,19.8
157.1,158.0,22.6
112.3,111.5,17.3
85.9,81.5,22.1
113.1,110.0,15.5
58.0,57.0,7.1
